epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.598,0.75232,7.99216,0.01048,0.66306,0.73645,0.75276,0.57555,0.81193,2.19047,0.01281,0.000474413,0.000474413,0.000474413
2,193.04,0.87234,3.22627,0.01257,0.79511,0.78833,0.88482,0.66984,0.88918,0.70479,0.015,0.000856622,0.000856622,0.000856622
3,248.694,0.89478,1.29066,0.01321,0.86065,0.84743,0.91706,0.69534,0.84911,0.5601,0.01361,0.00114452,0.00114452,0.00114452
4,336.259,0.86399,0.77771,0.01277,0.84816,0.83368,0.909,0.71301,0.77436,0.53564,0.01167,0.00100459,0.00100459,0.00100459
5,425.177,0.80992,0.59692,0.01172,0.88716,0.89852,0.95468,0.75114,0.76028,0.43604,0.01238,0.000863116,0.000863116,0.000863116
6,507.038,0.78363,0.49599,0.01103,0.909,0.90738,0.96799,0.78225,0.70484,0.35487,0.01071,0.000721645,0.000721645,0.000721645
7,581.997,0.71125,0.40736,0.00958,0.9542,0.91699,0.97557,0.79221,0.70287,0.32974,0.01055,0.000580174,0.000580174,0.000580174
8,636.211,0.67663,0.3649,0.00893,0.92025,0.9354,0.97555,0.8022,0.65342,0.31662,0.00944,0.000438703,0.000438703,0.000438703
9,687.303,0.64313,0.32284,0.00858,0.93589,0.94314,0.97968,0.81898,0.63699,0.29024,0.00931,0.000297232,0.000297232,0.000297232
10,738.611,0.60315,0.29968,0.00772,0.947,0.93434,0.98254,0.82933,0.60266,0.27592,0.00845,0.000155761,0.000155761,0.000155761
