epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8146,0.9396,0.82508,0.01078,0.89639,0.90268,0.95918,0.77461,0.69858,0.39411,0.0109,0.000474413,0.000474413,0.000474413
2,119.444,0.96578,0.76812,0.01126,0.89892,0.85981,0.94232,0.75721,0.74095,0.45687,0.01181,0.000941334,0.000941334,0.000941334
3,173.733,1.00477,0.83666,0.01227,0.88091,0.82477,0.91093,0.70859,0.81189,0.63609,0.01418,0.00139882,0.00139882,0.00139882
4,229.666,0.98493,0.81914,0.01208,0.79649,0.78834,0.86289,0.65288,0.89657,0.72455,0.01619,0.00138656,0.00138656,0.00138656
5,287.174,0.99431,0.78703,0.01218,0.88872,0.87759,0.93696,0.74749,0.78132,0.4665,0.01346,0.00137241,0.00137241,0.00137241
6,348.359,0.9726,0.73559,0.01211,0.91738,0.89204,0.9598,0.76021,0.78702,0.39235,0.01347,0.00135826,0.00135826,0.00135826
7,404.953,0.94584,0.69592,0.01151,0.90109,0.90474,0.95962,0.75919,0.78798,0.40709,0.01299,0.00134412,0.00134412,0.00134412
8,458.931,0.94706,0.67083,0.01121,0.8658,0.87967,0.94254,0.75229,0.76279,0.46852,0.01272,0.00132997,0.00132997,0.00132997
9,512.259,0.91687,0.68897,0.01086,0.91597,0.88075,0.96033,0.77038,0.76259,0.41009,0.0128,0.00131582,0.00131582,0.00131582
10,565.788,0.92088,0.65941,0.01088,0.90022,0.92053,0.96528,0.76821,0.77147,0.38067,0.01311,0.00130168,0.00130168,0.00130168
11,621.247,0.91326,0.64393,0.01075,0.92701,0.91349,0.96244,0.76339,0.7604,0.40253,0.01262,0.00128753,0.00128753,0.00128753
12,675.049,0.90412,0.61214,0.01065,0.91479,0.89139,0.95469,0.76109,0.74106,0.41518,0.01238,0.00127338,0.00127338,0.00127338
13,728.317,0.90489,0.60718,0.0107,0.92051,0.89204,0.96507,0.76406,0.7833,0.39288,0.01341,0.00125923,0.00125923,0.00125923
